Date,Product,Quantity Sold,Total Sales
2023-08-02,Mobile,1,46048
2021-05-16,Headphones,3,39198
2020-07-28,Keyboard,2,7912
2020-03-06,Laptop,2,157314
2021-04-21,Keyboard,10,7170
2023-02-23,Headphones,9,70857
2021-03-27,Monitor,10,232310
2020-01-14,Tablet,7,261086
2021-07-23,Tablet,4,148236
2020-07-28,Mobile,7,158732
2022-01-05,Camera,10,546710
2020-03-29,Monitor,9,118620
2022-02-14,Mobile,9,435843
2023-07-11,Mouse,6,8892
2021-01-28,Mobile,1,39871
2021-08-15,Mobile,4,92952
2022-02-17,Smartwatch,8,206640
2022-01-17,Tablet,6,229698
2021-03-05,Smartwatch,2,49920
2023-07-24,Tablet,9,279387
2020-11-30,Monitor,7,158837
2023-08-03,Keyboard,4,12624
2020-04-24,Headphones,1,14189
2021-10-08,Printer,5,25840
2021-03-08,Mouse,6,4410
2023-09-04,Monitor,7,245497
2020-10-19,Smartwatch,3,39243
2023-02-23,Keyboard,5,20045
2023-04-10,Printer,6,61116
2020-10-10,Keyboard,8,9952
2020-04-06,Mobile,3,92907
2023-10-25,Printer,10,50810
2022-02-27,Printer,10,183370
2022-12-19,Smartwatch,9,48384
2023-10-25,Mobile,9,404757
2023-08-05,Camera,2,116938
2022-06-09,Tablet,8,121696
2021-06-23,Keyboard,3,13974
2020-08-05,Smartwatch,9,224586
2021-02-11,Tablet,6,153522
2023-01-09,Keyboard,1,3155
2022-09-27,Laptop,2,195152
2021-09-21,Headphones,1,4946
2023-03-07,Mobile,2,147398
2020-05-21,Keyboard,3,4653
2023-09-13,Monitor,9,142389
2021-06-26,Keyboard,10,39660
2021-03-09,Keyboard,4,12212
2022-03-28,Camera,8,702712
2022-07-13,Mobile,4,157804
2020-05-11,Camera,1,97110
2023-02-08,Headphones,10,46080
2020-01-15,Mobile,1,40007
2020-05-18,Laptop,6,355722
2022-11-18,Headphones,5,59800
2022-09-21,Headphones,9,28503
2023-03-15,Mouse,8,6376
2022-08-26,Printer,4,24360
2020-07-17,Printer,6,101274
2022-04-21,Monitor,1,11449
2020-05-04,Printer,6,39480
2021-05-24,Headphones,4,39144
2022-07-07,Tablet,7,189175
2021-07-24,Monitor,4,39760
2022-06-26,Keyboard,2,1828
2023-08-28,Keyboard,1,1264
2021-04-29,Tablet,7,327782
2022-09-12,Headphones,7,13720
2020-12-03,Printer,1,15793
2021-06-27,Monitor,5,163610
2023-11-27,Keyboard,8,14144
2021-01-23,Smartwatch,4,27664
2023-04-01,Keyboard,1,3069
2020-04-27,Laptop,10,1124930
2022-10-26,Keyboard,3,2895
2022-11-06,Mobile,3,56943
2023-05-03,Mobile,4,251692
2020-09-02,Mouse,4,5940
2023-05-02,Laptop,10,607450
2022-05-08,Mouse,10,13700
2021-10-09,Smartwatch,4,107780
2021-10-05,Headphones,5,37420
2020-09-25,Smartwatch,8,122880
2020-05-28,Laptop,8,1051328
2023-02-27,Mobile,2,75876
2022-11-02,Smartwatch,3,49308
2020-05-20,Headphones,6,34014
2020-11-19,Monitor,9,223425
2023-06-06,Keyboard,1,2952
